17.3" Ноутбук Acer Predator Helios 500 PH517-52-72RD черный [Quad HD 2K (2560x1440), IPS, Intel Core i7 11800H, 8 ядер х 2.3 ГГц, RAM 32 ГБ, SSD 2000 ГБ, GeForce RTX 3070 для ноутбуков 8 ГБ, Windows 10 Home]
14.2" Ноутбук Apple MacBook Pro серебристый [3024x1964, mini-LED, Apple M1 Pro, 10 ядер, RAM 16 ГБ, SSD 1024 ГБ, Apple M1 Pro 16-Core , macOS]
14.2" Ноутбук Apple MacBook Pro серый [3024x1964, mini-LED, Apple M1 Pro, 10 ядер, RAM 16 ГБ, SSD 1024 ГБ, Apple M1 Pro 16-Core , macOS]
16.2" Ноутбук Apple MacBook Pro серый [3456x2234, mini-LED, Apple M1 Pro, 10 ядер, RAM 16 ГБ, SSD 512 ГБ, Apple M1 Pro 16-Core , macOS]
15.6" Ноутбук ASUS ZenBook PRO DUO 15 OLED UX582LR-H2017T синий [Ultra HD 4K (3840x2160), OLED, Intel Core i7 10870H, 8 ядер х 2.2 ГГц, RAM 32 ГБ, SSD 1000 ГБ, GeForce RTX 3070 для ноутбуков 8 ГБ, Windows 10 Home]
16" Ноутбук Apple MacBook Pro серый [3072x1920, IPS, Intel Core i9, 8 ядер х 2.4 ГГц, RAM 32 ГБ, SSD 512 ГБ, Radeon Pro 5300M 4 ГБ, macOS]
14.2" Ноутбук Apple MacBook Pro серебристый [3024x1964, mini-LED, Apple M1 Pro, 8 ядер, RAM 32 ГБ, SSD 512 ГБ, Apple M1 Pro 14-Core , macOS]
14.2" Ноутбук Apple MacBook Pro серый [3024x1964, mini-LED, Apple M1 Pro, 8 ядер, RAM 32 ГБ, SSD 512 ГБ, Apple M1 Pro 14-Core , macOS]
15.6" Ноутбук ASUS ZenBook PRO DUO 15 OLED UX582LR-H2012T синий [Ultra HD 4K (3840x2160), OLED, Intel Core i7 10870H, 8 ядер х 2.2 ГГц, RAM 16 ГБ, SSD 512 ГБ, GeForce RTX 3070 для ноутбуков 8 ГБ, Windows 10 Home]
14" Ноутбук Lenovo Yoga Slim 9 14ITL5 черный [Ultra HD 4K (3840x2160), IPS, Intel Core i7 1165G7, 4 ядер х 2.8 ГГц, RAM 16 ГБ, SSD 2000 ГБ, Intel Iris Xe Graphics , Windows 10 Home]
15.6" Ноутбук HP ENVY 15-ep1032ur серебристый [Full HD (1920x1080), IPS, Intel Core i9 11900H, 8 ядер х 2.5 ГГц, RAM 16 ГБ, SSD 1000 ГБ, GeForce RTX 3060 для ноутбуков 6 ГБ, Windows 10 Home]
15.6" Ноутбук Alienware x15 R1 белый [Full HD (1920x1080), IPS, Intel Core i7 11800H, 8 ядер х 2.3 ГГц, RAM 16 ГБ, SSD 512 ГБ, GeForce RTX 3070 для ноутбуков 8 ГБ, Windows 10 Home]
14.2" Ноутбук Apple MacBook Pro серебристый [3024x1964, mini-LED, Apple M1 Pro, 10 ядер, RAM 16 ГБ, SSD 512 ГБ, Apple M1 Pro 16-Core , macOS]
17.3" Ноутбук ASUS ROG Strix SCAR 17 G733 G733QR-HG044T черный [Full HD (1920x1080), IPS, AMD Ryzen 9 5900HX, 8 ядер х 3.3 ГГц, RAM 32 ГБ, SSD 1000 ГБ, GeForce RTX 3070 для ноутбуков 8 ГБ, Windows 10 Home]
16" Ноутбук MSI Creator Z16 A11UE-037RU серый [2560x1600, IPS, Intel Core i7 11800H, 8 ядер х 2.3 ГГц, RAM 32 ГБ, SSD 2000 ГБ, GeForce RTX 3060 для ноутбуков 6 ГБ, Windows 10 Home]
14.2" Ноутбук Apple MacBook Pro серебристый [3024x1964, mini-LED, Apple M1 Pro, 10 ядер, RAM 16 ГБ, SSD 512 ГБ, Apple M1 Pro 14-Core , macOS]
14.2" Ноутбук Apple MacBook Pro серый [3024x1964, mini-LED, Apple M1 Pro, 10 ядер, RAM 16 ГБ, SSD 512 ГБ, Apple M1 Pro 14-Core , macOS]
15.6" Ноутбук ASUS ROG STRIX SCAR 15 G533QR-HQ118T черный [Quad HD 2K (2560x1440), IPS, AMD Ryzen 9 5900HX, 8 ядер х 3.3 ГГц, RAM 32 ГБ, SSD 1000 ГБ, GeForce RTX 3070 для ноутбуков 8 ГБ, Windows 10 Home]
15.6" Ноутбук ASUS ROG Strix SCAR 15 G533QR-HF054T черный [Full HD (1920x1080), IPS, AMD Ryzen 9 5900HX, 8 ядер х 3.3 ГГц, RAM 32 ГБ, SSD 1000 ГБ, GeForce RTX 3070 для ноутбуков 8 ГБ, Windows 10 Home]
15.6" Ноутбук MSI Vector GP66 12UH-276XRU черный [Full HD (1920x1080), IPS, Intel Core i7 12700H, 6 ядер, RAM 16 ГБ, SSD 1000 ГБ, GeForce RTX 3080 для ноутбуков 8 ГБ, без ОС]
15.6" Ноутбук Acer Nitro 5 AN515-45-R68R черный [Full HD (1920x1080), IPS, AMD Ryzen 9 5900HX, 8 ядер х 3.3 ГГц, RAM 32 ГБ, SSD 1000 ГБ, GeForce RTX 3080 для ноутбуков 8 ГБ, Windows 10 Home]
13.3" Ноутбук Apple MacBook Pro серый [2560x1600, IPS, Apple M1, 8 ядер, RAM 16 ГБ, SSD 2000 ГБ, Apple M1 8-core , macOS]
15.6" Ноутбук ASUS ROG Zephyrus G15 GA503QR-HQ091T серый [Quad HD 2K (2560x1440), IPS, AMD Ryzen 9 5900HS, 8 ядер х 3.1 ГГц, RAM 16 ГБ, SSD 1000 ГБ, GeForce RTX 3070 для ноутбуков 8 ГБ, Windows 10 Home]
15.6" Ноутбук Acer Nitro 5 AN515-45-R3SU черный [Full HD (1920x1080), IPS, AMD Ryzen 7 5800H, 8 ядер х 3.2 ГГц, RAM 32 ГБ, SSD 1000 ГБ, GeForce RTX 3080 для ноутбуков 8 ГБ, Windows 10 Home]
15.6" Ноутбук Gigabyte Aero 15 OLED XD черный [Ultra HD 4K (3840x2160), OLED, Intel Core i7 11800H, 8 ядер х 2.3 ГГц, RAM 16 ГБ, SSD 1000 ГБ, GeForce RTX 3070 для ноутбуков 8 ГБ, Windows 10 Pro]
15.6" Ноутбук Acer Nitro 5 AN515-45-R5A1 черный [Quad HD 2K (2560x1440), IPS, AMD Ryzen 7 5800H, 8 ядер х 3.2 ГГц, RAM 16 ГБ, SSD 1000 ГБ, GeForce RTX 3080 для ноутбуков 8 ГБ, Windows 11 Home]
15.6" Ноутбук Acer Nitro 5 AN515-45-R8FW черный [Quad HD 2K (2560x1440), IPS, AMD Ryzen 7 5800H, 8 ядер х 3.2 ГГц, RAM 16 ГБ, SSD 1000 ГБ, GeForce RTX 3080 для ноутбуков 8 ГБ, Windows 10 Home]
